country,avglife,cleanRate,fitRate
Switzerland,83.7,74.9,80.5
Spain,83.49,72.1,76.2
Italy,83.2,76.6,80.1
Sweden,82.96,92,79.4
Norway,82.91,87,76.9
France,82.58,65.4,78.4
Iceland,82.56,86.2,78.1
Luxembourg,82.45,78.3,77.4
Ireland,82.3,76.4,74.7
Canada,82.05,82.5,70.6
Netherlands,82.01,76.6,79.6
Greece,81.94,60.9,75.1
Austria,81.79,70.9,79.9
Finland,81.79,80.3,77.8
Belgium,81.75,75,77.9
Slovenia,81.28,77.3,79.8
Denmark,81.2,81.4,80.3
UnitedKingdom,81.2,80.8,72.2
Cyprus,80.98,63.3,78.2
Germany,80.94,72,77.7
Portugal,80.68,72.1,79.2
UnitedStates,78.79,74.9,63.8
Estonia,78.5,69.5,78.8
Croatia,78.42,63.4,75.6
Poland,77.86,74,76.9
Slovakia,77.47,67.7,79.5
Lithuania,76.13,72.9,73.7
Hungary,76.02,69.4,73.6
Latvia,75.24,63.3,76.4
